Seriation_Number	Assemblage	Parkin_Punctated	Barton/Kent/MPI	Painted	Fortune_Noded	Ranch_Incised	Walls_Engraved	Wallace_Incised	Rhodes_Incised	Vernon_Paul_Applique	Hull_Engraved
95	10-P-1	39	62	46	0	0	0	0	0	0	6

96	13-N-21	426	69	105	4	4	0	1	4	1	0
96	13-N-16	42	56	69	0	1	3	0	0	0	0
96	10-P-1	39	62	46	0	0	0	0	0	0	6

97	13-N-21	426	69	105	4	4	0	1	4	1	0
97	13-P-8	83	25	43	0	18	17	0	3	0	3
97	13-O-10	60	74	79	0	2	8	0	2	0	0

98	13-N-21	426	69	105	4	4	0	1	4	1	0
98	13-P-8	83	25	43	0	18	17	0	3	0	3
98	13-N-5	35	11	33	0	0	0	0	0	0	0

99	13-N-21	426	69	105	4	4	0	1	4	1	0
99	13-P-8	83	25	43	0	18	17	0	3	0	3
99	13-N-4	71	67	96	0	3	4	0	0	0	0

100	13-N-21	426	69	105	4	4	0	1	4	1	0
100	13-P-8	83	25	43	0	18	17	0	3	0	3
100	13-O-11	35	65	24	0	0	2	0	1	0	1

101	13-N-21	426	69	105	4	4	0	1	4	1	0
101	13-P-8	83	25	43	0	18	17	0	3	0	3
101	13-N-16	42	56	69	0	1	3	0	0	0	0

102	13-N-15	728	364	160	9	5	8	14	3	7	2
102	12-N-3	549	328	77	19	4	0	3	1	2	0
102	11-N-9	528	198	13	0	19	0	0	0	0	0

103	13-N-15	728	364	160	9	5	8	14	3	7	2
103	12-N-3	549	328	77	19	4	0	3	1	2	0
103	11-O-10	404	208	6	16	4	0	0	0	0	0

